GeneID	TranscriptID	Sample.Cleavage	Sample.Brown	Sample.Cloud	Sample.Spot	Sample.Late.spot	Sample.Ring	Sample.Late.ring	Sample.Free.swimming.larvae
LOC109587782	XR_002187788.1	8.481	2.523	7.563	1.468	0.162	1.82	2.573	19.549
LOC109581439	XR_002184638.1	1.082	0	0.053	0	0	0.039	0	0
LOC109587505	XR_002187648.1	18.277	15.054	14.728	16.723	15.829	14.05	12.368	16.165
LOC109592877	XR_002190610.1	11.063	3.397	2.05	2.393	1.645	2.141	2.55	1.372
LOC109593635	XR_002191084.1	47.778	25.517	11.758	8.868	11.923	13.797	10.71	16.281
LOC109592468	XR_002190368.1	1.517	0.102	0.348	0	0	0	0	0.091
LOC109591380	XR_002189791.1	3.694	2.62	2.424	0.989	1.371	3.044	1.001	3.242
LOC109589476	XR_002188718.1	10.366	27.36	9.185	7.307	9.506	12.774	7.289	8.7
LOC109590014	XR_002189057.1	5.36	0.989	1.364	4.727	2.644	18.162	7.91	18.479
LOC109587029	XR_002187356.1	0.869	0	0	0.627	0	0.22	0.121	0.349
LOC109583770	XR_002185690.1	3.9	0.113	1.343	0.596	1.807	1.094	0.627	1.114
LOC109586721	XR_002187204.1	1.097	0	0.307	0.392	0	0.164	0.438	0.128
LOC109591531	XR_002189857.1	1.846	0	0.561	0.218	0.034	0.129	0.358	0.109
LOC109581328	XR_002184592.1	59.015	12.276	3.817	4.359	2.542	2.928	7.181	8.456
LOC109585342	XR_002186440.1	0	0.237	0	0	0	0.49	0	0
LOC100637729	XR_002186810.1	6.078	0.164	0.109	0.105	0.177	0.067	0.097	0.185
LOC109583460	XR_002185537.1	0.491	0.012	0.659	0	0.448	0.178	0	0
LOC109590089	XR_002189134.1	0	0	0	0	0	0	0	0
LOC109593809	XR_002191160.1	5.959	1.589	1.95	1.502	0.646	1.135	2.562	0.913
LOC109584448	XR_002186010.1	0.121	0.224	0.49	0.155	0.339	0.056	0	0.805
LOC109592209	XR_002190231.1	199.212	226.561	98.479	104.956	114.792	91.042	68.213	59.757
LOC109592090	XR_002190167.1	21.581	19.348	11.012	7.837	12.245	3.427	5.487	8.848
LOC109591300	XR_002189755.1	1.178	2.956	0.951	0.575	2.711	5.813	2.687	0.408
LOC109582378	XR_002185063.1	14.052	7.142	4.682	3.425	2.315	3.66	4.832	5.426
LOC109590173	XR_002189188.1	0	0	0	0	0	0.639	0	0
LOC109589306	XR_002188635.1	0.578	3.9	1.04	0.783	1.099	0.891	1.391	2.698
LOC109588167	XR_002187998.1	1.985	0	0.232	0.161	0	0.014	1.17	0
LOC109584138	XR_002185863.1	0.367	0	0.054	0	0	0	0	0
LOC109585734	XR_002186632.1	0.248	0	0.08	0.122	0	0	0	0.087
LOC109591771	XR_002189981.1	0.159	0	0.021	0	0	0	0.297	0
LOC109581655	XR_002184715.1	62.393	45.132	61.802	54.592	35.474	55.642	61.724	52.024
LOC109586713	XR_002187191.1	1.562	0.447	0.181	0.314	0.483	0.111	0	0.209
LOC109584496	XR_002186039.1	4.596	0.214	4.194	2.535	2.446	3.987	0.194	3.805
LOC109590644	XR_002189421.1	0	0	0.005	0.031	0	0.003	0	0.01
LOC109584285	XR_002185940.1	0	0	0.605	0.131	1.444	2.065	0	0
LOC109586124	XR_002186839.1	1.318	3.057	3.059	1.537	0.673	1.37	2.51	1.551
LOC109593044	XR_002190701.1	0.87	1.883	2.359	1.082	0.975	3.678	1.352	1.297
LOC109588954	XR_002188446.1	0	0.16	0.164	0	0.138	0	0	0
LOC109585677	XR_002186598.1	5	5.797	15.163	17.2	11.121	7.021	3.991	5.763
LOC109593573	XR_002191038.1	0.519	0.314	0.422	0.616	0.2	0.47	0.362	0.787
LOC109589822	XR_002188953.1	0.002	0.003	0.001	0	0.001	0	0	0.003
LOC109588198	XR_002188016.1	0	0.242	0	0.283	0	0	0	1.043
LOC109593245	XR_002190832.1	17.021	13.16	6.285	5.705	3.409	4.891	9.334	15.897
LOC109592232	XR_002190243.1	14.77	25.423	18.571	12.088	4.76	8.539	19.683	34.743
LOC109581734	XR_002184744.1	1.793	0.598	2.596	2.325	0	1.08	0.136	2.391
LOC109587659	XR_002187734.1	13.129	6.309	6.286	4.062	3.349	3.915	4.015	5.939
LOC105315898	XR_002190032.1	1.313	0	0.102	0.031	0	0	0	0.077
LOC109581583	XR_002184684.1	0.888	0.371	0.085	0.356	1.889	0.076	0.777	0
LOC109589624	XR_002188816.1	7.162	10.229	6.188	4.231	4.821	4.453	7.887	11.372
LOC109592926	XR_002190639.1	0.625	0	0.216	0	0	0.252	0.519	0.212
LOC109580954	XR_002184447.1	0.726	0	0.199	0.24	0.266	0.148	0.048	0.585
LOC109586664	XR_002187155.1	2.351	1.022	1.171	0.388	0.29	0.457	1.184	3.662
LOC109587186	XR_002187437.1	22.784	16.599	6.411	11.177	8.348	18.953	6.313	10.849
LOC109587947	XR_002187886.1	9.676	3.834	2.735	1.7	0.406	1.902	0.596	2.437
LOC109581894	XR_002184817.1	0	0.052	0.078	0	0	0	0	0.071
LOC109590577	XR_002189387.1	2.339	0.236	0.904	0.351	0.253	0.058	0	0.607
LOC109586551	XR_002187086.1	14.026	0	0.001	0.003	0	0	0	0
LOC109581513	XR_002184674.1	2.941	0.174	0.044	0.185	0	0.041	0	0
LOC109582502	XR_002185117.1	14.003	10.961	12.766	12.384	8.732	11.925	11.212	17.547
LOC109590821	XR_002189514.1	0.811	1.003	2.097	0.715	0.835	0.811	2.747	5.816
LOC109591443	XR_002189822.1	10.359	6.309	3.589	0.687	9.377	2.99	3.641	4.771
LOC109581240	XR_002184562.1	8.535	11.031	6.994	7.148	4.599	7.147	10.169	13.054
LOC109587135	XR_002187404.1	0.059	0.167	0.161	0.042	0.284	0.118	0.446	0.087
LOC109589942	XR_002189022.1	0.059	0	0	0	0	0	0	0
LOC109590557	XR_002189377.1	16.084	10.805	5.108	2.169	3.926	2.861	4.939	2.125
LOC109591030	XR_002189629.1	0	0.076	0.139	0.37	0	0.111	0.273	1.093
LOC109586531	XR_002187076.1	0.679	1.379	1.602	0.242	0.863	2.389	0.584	2.55
LOC100634369	XR_002187707.1	2.596	11.452	4.319	2.028	5.45	1.953	3.12	5.217
LOC109587926	XR_002187876.1	4.466	1.873	2.514	5.491	0.678	1.214	1.112	0.461
LOC109592148	XR_002190197.1	0.734	0.032	0.04	0.124	0.122	0	0.324	0
LOC109592512	XR_002190398.1	0.58	0	0	0.042	0.083	0	0	0
LOC109590154	XR_002189178.1	0	0.204	0	0	0	0.442	0	0
LOC109583682	XR_002185660.1	0	0.226	0.123	0.083	0	0.604	0.121	0.686
LOC109584949	XR_002186240.1	0.991	0.343	0	0.695	0	0	0.123	0.079
LOC109586395	XR_002187005.1	5.575	2.916	3.28	3.113	3.287	2.642	4.271	6.509
LOC109590878	XR_002189545.1	2.214	0	0	0	0	0	0.869	0.13
LOC109591309	XR_002189761.1	0	0.055	0.346	0	0.093	0	0	0.066
LOC109583008	XR_002185318.1	1.079	3.332	0.947	2.175	1.322	0.976	1.007	1.057
LOC109591762	XR_002189971.1	0	0	0.053	0	0.192	0	0.1	0
LOC109592584	XR_002190431.1	11.464	4.397	5.669	6.55	3.374	2.478	1.936	5.894
LOC109587812	XR_002187805.1	0.078	0.064	0.154	0.191	0.349	0	0	0.68
LOC109585602	XR_002186568.1	5.011	0	0.384	1.634	0.701	2.216	1.281	0.301
LOC109592015	XR_002190124.1	0.137	0.95	1.616	1.878	0.325	4.04	1.518	1.506
LOC109590226	XR_002189221.1	0.317	0.051	0.581	0.303	0.961	0	0	0.411
LOC109583377	XR_002185504.1	0.751	0.541	0.134	0	0	0	0.259	0
LOC109590073	XR_002189107.1	0.661	0.365	0.95	1.042	2.846	2.332	1.983	0.386
LOC109585697	XR_002186613.1	40.262	13.883	13.537	8.954	15.138	9.569	25.093	65.139
LOC109581216	XR_002184554.1	13.175	13.704	4.3	36.882	8.17	11.222	5.764	29.998
LOC109586826	XR_002187237.1	0.607	0.729	0.394	1.77	0.399	0.423	0	0.307
LOC109593617	XR_002191074.1	1.98	1.316	1.541	0.223	0.064	0.212	0.07	0.239
LOC109584174	XR_002185893.1	4.582	0.973	0.087	0.393	0.425	2.462	0	1.034
LOC109590421	XR_002189308.1	9.03	4.337	2.447	0.254	2.72	2.183	3.148	2.275
LOC109588123	XR_002187968.1	0	0	0.436	0.038	0	0.271	0.252	0
LOC109587768	XR_002187778.1	2.645	0.047	1.09	1.449	0.984	0.528	1.154	1.015
LOC109582442	XR_002185093.1	6.826	3.576	1.03	1.364	1.415	0.704	3.026	1.486
LOC109588566	XR_002188246.1	6.553	2.735	1.116	1.85	0.919	3.562	0.488	2.8
LOC109591813	XR_002190013.1	1.764	0.402	0.764	0	0.059	0.074	0.311	0.074
LOC109593221	XR_002190813.1	4.159	11.26	7.353	1.032	1.931	0.837	1.176	4.887
LOC109586669	XR_002187161.1	0	0	0	0	0	0	0	0
LOC109592609	XR_002190443.1	0	0	0	0	0	0	0	0
LOC109593434	XR_002190956.1	6.343	5.442	3.526	0.958	0.912	3.884	5.596	14.679
LOC109590155	XR_002189179.1	19.801	7.823	3.117	3.432	1.862	2.026	1.86	3.684
LOC109592515	XR_002190399.1	7.187	1.458	1.139	0.149	2.327	1.674	2.561	3.352
LOC109584141	XR_002185867.1	2.044	0.454	0.716	0.316	0.32	0.189	0.628	0.601
LOC109584205	XR_002185906.1	0.789	0.215	0.416	0.147	0.179	0.445	0	0
LOC109584764	XR_002186190.1	0.132	0.282	0.818	1.002	0.182	0.337	0	0.321
LOC109582380	XR_002185067.1	1.053	0	0.018	0.342	0	0.238	0	0
LOC109583011	XR_002185319.1	0.744	0.101	0.22	0.061	0.278	0.184	0.219	0.347
LOC109588773	XR_002188351.1	6.407	2.71	1.005	1.961	1.668	1.414	1.883	1.373
LOC109580930	XR_002184443.1	442.023	204.334	120.989	102.791	149.722	145.659	84.731	77.379
LOC109587185	XR_002187433.1	0	0	0	0.015	0	0	0.007	0
LOC109582187	XR_002184956.1	1.976	0.574	0.712	0.359	0.03	0.356	0.223	0.111
LOC109590573	XR_002189383.1	3.323	3.454	1.196	0.56	0.342	0.483	0.682	0.355
LOC109588856	XR_002188400.1	1.156	7.68	4.132	4.096	2.639	3.012	5.08	7.685
LOC109581896	XR_002184813.1	13.938	3.351	0.806	0	1.747	0.095	0.765	0.536
LOC109586743	XR_002187212.1	0.647	1.6	1.666	1.666	2.89	1.163	2.596	0.967
LOC109589825	XR_002188957.1	0.103	0.521	1.232	0.237	1.126	0	0	1.47
LOC109590948	XR_002189580.1	6.203	4.774	1.713	3.643	3.261	5.108	2.999	8.959
LOC109583901	XR_002185765.1	0	0	0	0	0	0	0	0
LOC109592799	XR_002190554.1	0	0	0	0.185	0	0.149	0	0.293
LOC109583460	XR_002185541.1	6.76	3.992	24.499	16.987	14.581	2.654	3.69	6.063
LOC109588648	XR_002188282.1	3.037	0.736	1.236	0.246	0.107	0.489	0.361	0
LOC109591028	XR_002189628.1	1.173	4.31	7.438	8.874	8.2	3.592	5.608	1.7
LOC109585039	XR_002186285.1	10.316	4.428	2.526	2.639	0.298	2.845	0.395	1.336
LOC109588850	XR_002188395.1	0	0.433	0	0.076	0.089	0	0	0.167
LOC109592240	XR_002190247.1	6.07	1.189	1.815	1.863	1.269	7.37	1.508	3.086
LOC109584398	XR_002185975.1	0.961	0.484	0.537	0.509	0.774	0.387	0.81	1.359
LOC109585237	XR_002186392.1	8.763	5.521	13.841	2.35	2.96	2.264	19.939	16.369
LOC109588125	XR_002187969.1	2.684	0.741	1.725	1.575	0.585	0.331	0.045	0.452
LOC109591663	XR_002189916.1	6.285	4.304	3.888	2.712	4.11	2.02	1.084	3.313
LOC109590422	XR_002189309.1	0	0	0.301	0	0.065	0	0	0
LOC109585413	XR_002186475.1	1.271	0.181	0.247	1.916	0.535	0.118	0.171	0.251
LOC109587769	XR_002187779.1	1.958	0	0.142	0	0.03	0	0.085	0.264
LOC105315132	XR_002188472.1	0	0	0	0	0	0	0	0
LOC109582534	XR_002185132.1	1.443	0.985	0.304	0	0.165	0.187	0	0.197
LOC109591522	XR_002189853.1	0.364	0	0.221	0.085	0.798	0	0.159	0
LOC109590006	XR_002189053.1	0.616	0.406	0.349	0.449	0.636	0.062	1.257	1.179
LOC109582803	XR_002185225.1	0	0	0	0	0	0	0	0
LOC109592809	XR_002190562.1	0	0	0	0	0	0	0	0
LOC109588496	XR_002188196.1	3.074	2.571	2.249	3.323	1.608	2.333	1.726	4.063
LOC109592987	XR_002190674.1	3.437	0.191	0.186	0.188	0.111	0.108	0	0
LOC100634444	XR_002185330.1	0	0	0	0	0	0	0	0
LOC109587197	XR_002187441.1	8.363	1.831	1.67	2.612	1.517	2.366	3.588	3.403
LOC109580884	XR_002184431.1	0.417	0.11	0.133	0.158	0	0	0.045	0.128
LOC109585603	XR_002186569.1	0.9	0.327	0.239	0	0.854	0.028	0.752	0.268
LOC109592060	XR_002190163.1	0.002	0.014	0.023	0.026	0.004	0.002	0	0.002
LOC109587822	XR_002187811.1	0	0	0	0	0	0	0	0
