GeneID	TranscriptID	Sample.Cleavage	Sample.Brown	Sample.Cloud	Sample.Spot	Sample.Late.spot	Sample.Ring	Sample.Late.ring	Sample.Free.swimming.larvae
GeneID_109586774	GeneID_109586774_t1	0.649	0.758	0.132	1.11	0.11	0.166	0.74	1.592
GeneID_109584678	GeneID_109584678_t1	0	0.05	0	0.139	0	0	0.089	0.217
GeneID_109581640	GeneID_109581640_t1	0.744	0.331	0.02	0	0	0.426	0.07	0.065
LOC100631678	LOC100631678_df_pt	0.715	0	0.035	0.421	0.172	0.354	0.528	0
GeneID_109584940	GeneID_109584940_t1	0	0	0	0	0	0	0.171	0
GeneID_4794362	GeneID_4794362_t1	257.137	153.133	111.054	41.578	50.89	82.421	65.856	45.136
GeneID_109583182	GeneID_109583182_t1	0	0	0.069	0.157	0.075	0	0.091	0.097
GeneID_109580259	GeneID_109580259_t1	0.059	0.499	0.067	0.03	0.074	0.05	0.031	1.025
GeneID_109585404	GeneID_109585404_t1	0	0.103	0.08	0.402	0	0.173	0	0.232
GeneID_109584934	GeneID_109584934_t1	59.237	12.531	12.652	32.519	49.653	15.323	15.249	65.831
GeneID_109583305	GeneID_109583305_t1	0.059	0.499	0.067	0.03	0.074	0.05	0.031	1.025
GeneID_4794370	GeneID_4794370_t1	240.94	66.526	63.112	29.273	30.119	42.059	23.959	34.392
GeneID_109591628	GeneID_109591628_t1	0	0	0	0	0	0	0	0.043
GeneID_109584076	GeneID_109584076_t1	0.351	0.026	0.205	0.101	0.104	0.039	0	0.162
GeneID_100616083otch	GeneID_100616083M_001279299.1	31.736	5.957	5.318	2.132	4.034	4.913	6.941	7.265
GeneID_64987428	GeneID_64987428_t1	0.091	0.165	0	0	0	0	0	0
GeneID_64987424	GeneID_64987424_t1	117.99	460.278	415.445	152.203	249.736	701.696	441.218	404.832
GeneID_109582427	GeneID_109582427_t1	0.029	0.112	0.045	0.368	0	0.07	0.136	0.302
GeneID_109582293	GeneID_109582293_t1	0.79	0.031	0.007	0.063	0.254	0.087	0	0.102
GeneID_102465922	GeneID_102465922_t1	0	0	0	0	0	0	0	0
GeneID_109583159	GeneID_109583159_t1	0.68	0	0.253	0.117	0.171	0.113	0.06	0.184
GeneID_64987420	GeneID_64987420_t1	1.109	0.572	0.636	0	0.099	0	0.091	0.174
GeneID_109582443	GeneID_109582443_t1	0.083	0	0.11	0.173	0	0	0	0.029
LOC100632101	LOC100632101_df_pt	4.624	1.768	1.243	1.348	1.857	1.234	7.483	2.828
GeneID_102465922	GeneID_102465922-2	0	0	0	0	0	0	0	0
GeneID_109582797	GeneID_109582797_t1	0.365	0	0.015	0	0	0.03	0.069	0.197
GeneID_109583150	GeneID_109583150_t1	0.096	0.087	0.167	0.065	0.025	0.152	0.125	0.037
GeneID_109580722	GeneID_109580722_t1	0.117	0.114	0.21	0.085	0.101	0.173	0.279	0.547
GeneID_109580941	GeneID_109580941_t1	0.047	0.114	0.241	0.139	0	0	0.209	0
GeneID_4794342	GeneID_4794342_t1	71.703	73.649	49.834	17.035	26.535	30.085	31.716	45.453
GeneID_64987417	GeneID_64987417_t1	0.789	0.399	0.194	0	0.412	0	0.171	0.297
GeneID_109593454	GeneID_109593454_t1	0	0	0.069	0.157	0.075	0	0.091	0.097
GeneID_109593225	GeneID_109593225_t1	0.083	0	0.11	0.173	0	0	0	0.029
GeneID_64987433	GeneID_64987433_t1	0	0.673	0.371	0.29	0.508	0.452	0.718	0.985
GeneID_109581857	GeneID_109581857_t1	0.759	1.098	1.962	0.595	0	0.368	0.085	0.496
GeneID_109587914	GeneID_109587914_t1	0	0	0.132	0	0.199	0	0.209	0.119
GeneID_109583294	GeneID_109583294_t1	0.702	0	0	0.042	0	0.221	0	0.297
GeneID_109590794	GeneID_109590794_t1	0	0	0	0.117	0	0.023	0	0
GeneID_109593745	GeneID_109593745_t1	0.453	0.164	0.07	0	0.044	0.037	0	0.088
GeneID_109591633	GeneID_109591633_t1	0.083	0	0.11	0.173	0	0	0	0.029
GeneID_109581579	GeneID_109581579_t1	0.79	0.031	0.007	0.063	0.254	0.087	0	0.102
GeneID_4794369	GeneID_4794369_t1	7.518	7.407	4.124	8.119	5.508	4.598	3.447	1.857
GeneID_64987422	GeneID_64987422_t1	2.526	0.761	2.502	0.636	1.028	1.516	0.341	0.087
GeneID_109584919	GeneID_109584919_t1	0.124	0.026	0	0	0.071	0	0	0
GeneID_109581460	GeneID_109581460_t1	0	0.047	0	0	0	0	0	0
GeneID_64987421	GeneID_64987421_t1	1.087	0.114	0.195	1	0	0.222	0	0.445
GeneID_109591095	GeneID_109591095_t1	0.424	0.936	0.933	0.412	1.386	0.57	0.256	0.744
GeneID_109583115	GeneID_109583115_t1	0.277	0.137	0.021	0	0.032	0.197	0.169	0
GeneID_109593779	GeneID_109593779_t1	0.075	0.027	0.068	0	0.148	0	0	0.043
GeneID_109593831	GeneID_109593831_t1	0.248	0	0.046	0	0	0	0.222	0
GeneID_109582728	GeneID_109582728_t1	0.638	0.073	0.205	0.021	0.036	0.087	0	0
GeneID_109591625	GeneID_109591625_t1	0	0	0.02	0.085	0	0	0	0.13
GeneID_102464346	GeneID_102464346_t1	0	0	0	0.043	0	0	0	0
GeneID_102464343	GeneID_102464343-2	0	0	0	0	0	0	0	0
LOC100632006	LOC100632006_df_pt	3.074	0.96	0.55	0.699	0.576	0.059	0.445	0.117
GeneID_109584913	GeneID_109584913_t1	0	0	0.367	0	0	0.056	0	0.197
GeneID_109580395	GeneID_109580395_t1	0.083	0	0.11	0.173	0	0	0	0.029
GeneID_102464343	GeneID_102464343_t1	0	0	0	0	0	0	0	0
GeneID_102464346	GeneID_102464346-2	0	0	0	0	0	0	0	0
GeneID_109583104	GeneID_109583104_t1	0.309	0	0.122	0.104	0.918	0.349	0.151	0
GeneID_109581923	GeneID_109581923_t1	0	0.07	0	0.195	0	0.048	0.031	0.318
GeneID_109591630	GeneID_109591630_t1	0.083	0	0.11	0.173	0	0	0	0.029
GeneID_64987416	GeneID_64987416_t1	3.957	0.48	0	0.185	0.13	0.07	0.123	0
GeneID_109584384	GeneID_109584384_t1	0.309	0.11	0.085	0.064	0	0	0.123	0.085
GeneID_100616089fkb	GeneID_100616089M_001279309.1	129.799	76.418	39.779	38.566	32.637	46.323	58.787	51.984
GeneID_64987419	GeneID_64987419_t1	0.411	0.047	0.129	0.422	0.03	0	0	0
GeneID_4794357	GeneID_4794357_t1	256.03	98.488	94.78	48.088	46.457	38.898	49.998	43.599
GeneID_109583687	GeneID_109583687_t1	0.248	0	0	0	0	0	0	0
GeneID_109589927	GeneID_109589927_t1	0.351	0.026	0.205	0.101	0.104	0.039	0	0.162
GeneID_109591627	GeneID_109591627_t1	0	0	0.152	0	0	0	0	0.056
GeneID_109580723	GeneID_109580723_t1	0	0	0	0	0	0	0.171	0
GeneID_109586605	GeneID_109586605_t1	0.096	0.087	0.167	0.065	0.025	0.152	0.125	0.037
GeneID_109584383	GeneID_109584383_t1	0.638	0.073	0.205	0.021	0.036	0.087	0	0
GeneID_109593830	GeneID_109593830_t1	0.029	0.163	0.355	0.347	0.207	0.141	0.123	0.272
GeneID_109592443	GeneID_109592443_t1	0	0	0	0	0	0	0	0.34
GeneID_109585914	GeneID_109585914_t1	0.124	0.155	0	0	0	0	0	0
GeneID_109590817	GeneID_109590817_t1	0.096	0.087	0.167	0.065	0.025	0.152	0.125	0.037
GeneID_109583371	GeneID_109583371_t1	0.096	0.087	0.167	0.065	0.025	0.152	0.125	0.037
GeneID_109581352	GeneID_109581352_t1	0.083	0.076	0.031	0	0	0	0	0
GeneID_4794358	GeneID_4794358_t1	7.514	4.051	1.808	0.891	1.362	3.073	1.518	1.046
GeneID_109590852	GeneID_109590852_t1	0.083	0	0.11	0.173	0	0	0	0.029
LOC100631772	LOC100631772_df_pt	4.67	5.033	2.291	1.408	1.332	1.637	1.507	1.48
GeneID_109593084	GeneID_109593084_t1	0.277	0.137	0.021	0	0.032	0.197	0.169	0
GeneID_109580460	GeneID_109580460_t1	0	0	0.877	0.64	0.666	0	0	0
GeneID_109591488	GeneID_109591488_t1	0.083	0.076	0.031	0	0	0	0	0
GeneID_64987426	GeneID_64987426_t1	0.059	0.227	0.447	0	0	0.15	1.106	0.774
GeneID_109583146	GeneID_109583146_t1	0.587	0.05	0.02	0.158	0.199	0	0	0
GeneID_64987429	GeneID_64987429_t1	0	0.05	0	0	0.3	0.058	0	0.243
GeneID_109581578	GeneID_109581578_t1	0.121	0.07	0	0.195	1.019	0.077	0.031	0.566
GeneID_64987432	GeneID_64987432_t1	0	0	0	0.043	0	0.141	0.07	0.104
GeneID_109581858	GeneID_109581858_t1	0.248	0.33	0.04	0.295	0	0	0.082	0
GeneID_64987431	GeneID_64987431_t1	0.496	7.132	0.117	0	0.697	1.708	0.512	0.689
GeneID_109581580	GeneID_109581580_t1	0	0	0	0	0.444	0	0	0.043
GeneID_109591634	GeneID_109591634_t1	0	0	0	0	0	0	0	0
GeneID_109584650	GeneID_109584650_t1	0.095	0	0.047	0	0	0	0	0
GeneID_109588173	GeneID_109588173_t1	0.083	0.076	0.031	0	0	0	0	0
GeneID_4794368	GeneID_4794368_t1	144.538	41.242	43.773	17.872	27.008	17.907	7.46	15.134
GeneID_64987425	GeneID_64987425_t1	0	0.114	0.626	0.722	0.1	0.079	0	0.066
GeneID_109584407	GeneID_109584407_t1	0	0	0	0	0.271	0.167	0	0
GeneID_109584832	GeneID_109584832_t1	0.183	0	0.161	0	0	0	0	0
GeneID_109591631	GeneID_109591631_t1	0	0	0	0	0	0	0	0
GeneID_4794355	GeneID_4794355_t1	96.933	56.113	85.086	37.737	28.469	23.071	17.539	12.044
GeneID_109584925	GeneID_109584925_t1	1.019	0	0.01	0	0.015	0.141	0	0
LOC100631959	LOC100631959_df_pt	3.465	2.553	2.101	1.449	1.381	5.99	6.152	6.372
GeneID_64987418	GeneID_64987418_t1	7.876	25.271	22.409	4.354	9.691	8.835	5.274	2.757
GeneID_64987430	GeneID_64987430_t1	0.248	2.952	0.079	0	0	1.025	0	0
GeneID_109581351	GeneID_109581351_t1	0.68	0	0.253	0.117	0.171	0.113	0.06	0.184
GeneID_109591292	GeneID_109591292_t1	0	0.05	0	0.139	0	0	0.089	0.217
GeneID_109580943	GeneID_109580943_t1	0.281	0	0.377	0	0	0.149	0	0
GeneID_109592963	GeneID_109592963_t1	0.124	0	0	0	0	0	0	0
GeneID_109581622	GeneID_109581622_t1	0.124	0	0	0	0	0	0	0
GeneID_4794361	GeneID_4794361_t1	117.625	36.781	24.223	16.392	15.333	17.217	7.241	23.567
GeneID_4794345	GeneID_4794345_t1	5.675	6.028	4.597	3.124	1.618	1.253	4.136	5.857
GeneID_4794343	GeneID_4794343_t1	449.888	122.632	116.925	53.89	69.43	52.482	63.512	76.545
GeneID_109581561	GeneID_109581561_t1	0.095	0	0.047	0	0	0	0	0
GeneID_109582294	GeneID_109582294_t1	0.79	0.031	0.007	0.063	0.254	0.087	0	0.102
GeneID_109583409	GeneID_109583409_t1	0.309	0	0.03	0.104	0.133	0.067	0.06	0
LOC100632098	LOC100632098_df_pt	0	0	0	0.069	0	0	0	0
GeneID_109591626	GeneID_109591626_t1	0.047	0	0	0	0	0	0	0
GeneID_64987423	GeneID_64987423_t1	51.221	29.689	66.215	30.47	12.098	25.455	15.201	32.075
GeneID_109583657	GeneID_109583657_t1	0.277	0.027	0.174	0	0.032	0.141	0.169	0
GeneID_109585409	GeneID_109585409_t1	0.357	1.16	1.086	0	0.655	0.192	0.291	0.066
GeneID_109581840	GeneID_109581840_t1	0.453	0.164	0.07	0	0.044	0.037	0	0.088
GeneID_109584933	GeneID_109584933_t1	0.225	0.186	0.098	1.153	0.465	0.166	0.128	0.461
GeneID_109581194	GeneID_109581194_t1	0.124	0.026	0.242	0	0	0	0	0.26
GeneID_109583009	GeneID_109583009_t1	0	0	0.1	0.043	0.266	0.278	0.028	0.416
GeneID_109587919	GeneID_109587919_t1	1.019	0	0.01	0	0.015	0.141	0	0
LOC100631748	LOC100631748_df_pt	14.599	17.685	29.919	8.508	10.558	4.596	15.688	22.691
GeneID_4794363	GeneID_4794363_t1	134.408	410.205	72.385	44.16	76.505	45.394	75.486	65.389
GeneID_64987427	GeneID_64987427_t1	0.248	0.221	0.02	0.436	0.333	0	0	0.39
GeneID_109591632	GeneID_109591632_t1	0.225	0.758	0	1.11	0.11	0.166	0	0.357
GeneID_109580560	GeneID_109580560_t1	0.075	0.027	0.068	0	0.148	0	0	0.043
GeneID_109591629	GeneID_109591629_t1	0.396	0.432	0.189	0.729	0.326	0.221	0	1.258
GeneID_109583154	GeneID_109583154_t1	0	0.23	0.312	0.555	0.189	0.181	0.453	0.457
GeneID_4794351	GeneID_4794351_t1	1139.107	800.968	1524.931	832.953	198.173	229.406	185.452	85.147
GeneID_64987434	GeneID_64987434_t1	48165.865	108937.148	40367.008	27325.34	55202.793	47112.134	67818.218	85788.906
LOC100634994	LOC100634994_df_pt	3.312	1.924	1.835	1.768	1.853	1.461	2.551	3.85
LOC100634815	LOC100634815_df_pt	145.114	66.101	43.573	35.662	33.137	35.722	46.398	44.58
LOC100632136	LOC100632136_df_pt	3.697	0.517	0.602	0.998	0.369	0.494	1.589	0.802
LOC100632686	LOC100632686_df_pt	1.754	1.133	0.204	0.209	0	0.244	0.297	0.483
LOC100633116	LOC100633116_df_pt	7.495	9.405	7.462	6.152	1.744	3.939	2.017	3.058
LOC100632163	LOC100632163_df_pt	24.322	14.191	18.975	45.38	24.752	19.186	18.144	18.048
LOC100632896	LOC100632896_df_pt	2.106	1.931	2.891	0.835	1.835	2.756	1.635	1.651
LOC100634703	LOC100634703_df_pt	4.214	1.629	2.421	1.583	1.371	1.017	2.138	1.808
LOC100634431	LOC100634431_df_pt	0.365	0.344	0.25	0.112	0.161	0.079	0.07	0.183
LOC100633512	LOC100633512_df_pt	26.676	17.228	11.421	25.261	6.157	11.972	14.69	18.876
LOC100632181	LOC100632181_df_pt	13.218	7.781	4.499	3.59	3.188	4.511	6.061	7.078
LOC100634868	LOC100634868_df_pt	5.957	9.546	6.925	4.924	3.526	7.958	6.286	6.911
LOC100634576	LOC100634576_df_pt	2.742	2.148	1.614	0.704	0.347	0.809	1.387	0.871
LOC100633480	LOC100633480_df_pt	13.042	5.448	6.762	4.504	10.315	2.261	1.733	1.913
LOC100633871	LOC100633871_df_pt	1.729	0.682	7.059	0.104	0.122	1.54	0.488	0
LOC100634617	LOC100634617_df_pt	4.222	6.228	1.323	1.367	0.386	1.275	1.468	0
LOC100634460	LOC100634460_df_pt	3.281	1.053	0.891	1.6	0.432	0.529	0.624	0.859
LOC100632200	LOC100632200_df_pt	2.16	2.43	0.442	0.963	0.623	0.171	0.208	0.17
LOC100634101	LOC100634101_df_pt	0.728	0.253	0.412	0.314	0	0.112	0.703	1.354
LOC100634216	LOC100634216_df_pt	11.663	3.257	4.216	1.198	0.628	1.312	1.327	1.693
LOC100633954	LOC100633954_df_pt	7.957	58.287	46.779	29.319	10.98	31.257	25.819	5.784
LOC100635006	LOC100635006_df_pt	0	0.102	0.244	0.185	0.071	0.196	0.384	0
LOC100635038	LOC100635038_df_pt	21.84	8.52	5.92	7.855	9.942	6.892	8.214	10.016
LOC100634773	LOC100634773_df_pt	1.935	0.808	0.51	1.701	0.687	0.6	0.439	0.381
LOC100633660	LOC100633660_df_pt	0	0.051	0.175	0.202	0.93	0	0.877	0.167
LOC100634790	LOC100634790_df_pt	5.855	5.089	4.426	2.914	1.758	0.971	5.176	1.044
LOC100635030	LOC100635030_df_pt	10.853	2.532	0.799	0.585	1.333	1.078	0.527	0.779
LOC100633450	LOC100633450_df_pt	8.958	1.613	2.205	1.857	2.069	1.363	3.153	2.246
LOC100633242	LOC100633242_df_pt	3.299	1.029	0.999	2.069	1.284	1.447	1.478	1.849
LOC100632813	LOC100632813_df_pt	5.531	11.163	23.594	31.591	17.532	59.038	29.367	7.383
LOC100633008	LOC100633008_df_pt	55.162	40.979	29.987	21.435	21.707	20.552	14.24	21.571
LOC100633110	LOC100633110_df_pt	0.317	0.333	0	0	0.05	0	0.163	0
LOC100634368	LOC100634368_df_pt	1.856	2.925	1.809	3.38	0.75	0.731	0	0.154
LOC100632727	LOC100632727_df_pt	3.722	5.369	9.563	10.677	2.072	6.828	3.895	6.359
LOC100635001	LOC100635001_df_pt	0.051	1.091	0.085	0.317	0.05	0	0.327	0.011
LOC100633584	LOC100633584_df_pt	9.802	4.744	5.73	4.195	7.736	3.496	8.472	12.282
LOC100633488	LOC100633488_df_pt	0	0.13	0.156	0	0.111	0.21	0.121	0
LOC100635062	LOC100635062_df_pt	1.483	0.699	0.515	0.105	0.008	0.074	0.384	0.171
LOC100632907	LOC100632907_df_pt	5.783	2.531	3.525	1.897	1.338	1.192	2.98	0.926
LOC100633816	LOC100633816_df_pt	10.169	14.905	11.772	8.181	3.333	3.928	6.82	9.123
LOC100634453	LOC100634453_df_pt	3.445	1.304	1.273	0.617	0.051	1.079	0.514	2.101
LOC100634712	LOC100634712_df_pt	30.666	12.937	20.089	16.651	17.141	13.375	10.336	15.661
LOC100633555	LOC100633555_df_pt	3.232	6.18	2.038	2.101	0.721	2.039	1.333	6.242
LOC100632894	LOC100632894_df_pt	1.615	2.328	2.921	1.523	1.96	0.357	0.049	1.536
LOC100633607	LOC100633607_df_pt	1.175	1.252	0.658	0.886	0	0.121	0.513	0.253
LOC100634788	LOC100634788_df_pt	4.829	1.264	1.372	1.409	3.094	1.197	1.085	1.544
LOC100632757	LOC100632757_df_pt	1.557	1.486	0.213	1.193	0.792	0.414	1.261	1.395
LOC100633371	LOC100633371_df_pt	3.716	8.315	1.532	1.962	0.142	0.083	0.156	0.304
LOC100634136	LOC100634136_df_pt	42.44	40.015	85.699	97.263	76.378	56.031	73.729	58.532
LOC100633806	LOC100633806_df_pt	8.963	1.222	1.619	1.045	1.784	1.706	3.666	5.841
LOC100632517	LOC100632517_df_pt	0.271	0.291	1.082	0.603	8.156	2.865	1.78	4.539
LOC100634209	LOC100634209_df_pt	274.288	345.92	276.072	255.558	266.953	198.373	262.988	230.629
LOC100635000	LOC100635000_df_pt	0.991	0	0.152	0.045	0	0.104	0.045	0.131
LOC100633975	LOC100633975_df_pt	19.887	16.971	16.191	14.231	13.073	12.187	10.735	16.639
LOC100632300	LOC100632300_df_pt	13.302	14.21	7.689	8.509	2.546	4.266	5.759	3.871
LOC100633497	LOC100633497_df_pt	1.556	3.084	4.384	4.378	0.738	2.564	1.4	1.724
LOC100634960	LOC100634960_df_pt	6.888	1.31	2.52	3.09	5.316	2.297	9.309	4.449
LOC100638566	LOC100638566_df_pt	13.328	1.705	0.385	0.225	0.213	0.651	1.087	0.482
LOC100638276	LOC100638276_df_pt	0.366	1.016	1.087	0.134	0.618	0.171	0.19	0.256
LOC100636595	LOC100636595_df_pt	0	1.001	0.431	0	0	0.055	0	0.275
LOC100639637	LOC100639637_df_pt	24.344	51.116	37.87	12.888	25.275	13.048	21.642	16.068
LOC100639556	LOC100639556_df_pt	0.745	0.237	0.338	0.66	0.249	0.058	0.045	0.384
LOC100637103	LOC100637103_df_pt	1.59	2.024	1.26	0.463	1.68	0.274	0.998	0.388
LOC100636534	LOC100636534_df_pt	0.75	0.198	0.335	0.474	0	0.189	0.047	0.858
LOC100638963	LOC100638963_df_pt	3.773	1.267	2.911	0.736	2.384	1.237	1.575	1.182
LOC100638488	LOC100638488_df_pt	1.817	0.586	0.231	0.069	0	0.502	0.581	0.62
LOC100638063	LOC100638063_df_pt	0.833	0.281	0.369	0.854	0	0.254	0.296	0.472
LOC100635332	LOC100635332_df_pt	3.214	1.355	2.264	0.777	1.02	1.891	2.623	1.405
LOC100637231	LOC100637231_df_pt	8.027	8.904	11.884	14.403	10.591	12.008	10.682	3.88
LOC100636295	LOC100636295_df_pt	2.56	2.043	0.628	0.906	0.372	1.088	0.439	0.157
LOC100638487	LOC100638487_df_pt	3.861	0.3	0.322	0.158	0.248	0.114	0.214	0.173
LOC100636045	LOC100636045_df_pt	26.387	5.142	2.228	1.661	1.111	1.455	1.184	2.233
LOC100636748	LOC100636748_df_pt	10.446	9.386	5.48	3.53	3.955	3.668	4.078	10.357
LOC100638233	LOC100638233_df_pt	4.313	3.542	2.053	1.345	0.866	3.764	1.913	1.412
LOC100636696	LOC100636696_df_pt	55.298	17.489	42.055	21.612	39.625	11.746	5.091	8.872
LOC100636259	LOC100636259_df_pt	5.688	8.347	0.298	0.639	0.954	0.785	0.252	2.636
LOC100637031	LOC100637031_df_pt	4.043	8.936	7.045	3.908	2.888	5.619	6.757	6.689
LOC100636602	LOC100636602_df_pt	7.427	2.526	2.232	0.315	2.799	0.91	0.955	0.543
LOC100639557	LOC100639557_df_pt	6.794	2.62	3.031	1.617	1.221	0.718	1.415	2.543
LOC100640054	LOC100640054_df_pt	0	0	0	0.392	0	0.056	0	0
LOC100635169	LOC100635169_df_pt	24.863	5.29	2.446	1.112	1.766	2.189	7.526	14.018
LOC100636829	LOC100636829_df_pt	9.911	3.201	2.461	3.719	3.591	2.914	3.793	3.615
LOC100635461	LOC100635461_df_pt	0.71	0	0.531	0.227	0.098	0.111	0.183	0
LOC100638903	LOC100638903_df_pt	36.346	268.108	350.876	387.389	213.781	278.376	16.422	12.062
LOC100638949	LOC100638949_df_pt	0.771	0	0.535	0.367	0.094	0.071	0.764	0
LOC100639926	LOC100639926_df_pt	9.391	1.968	4.146	4.977	3.857	2.576	3.121	6.834
LOC100636012	LOC100636012_df_pt	24.782	2.407	7.267	6.683	10.891	5.797	2.221	8.424
LOC100637550	LOC100637550_df_pt	12.049	3.667	4.428	3.98	3.189	2.003	7.273	3.006
LOC100635078	LOC100635078_df_pt	8.707	0.341	0.902	0.111	0.836	1.042	0.45	1.247
LOC100640019	LOC100640019_df_pt	26.469	20.053	9.869	7.572	5.882	6.362	4.059	5.66
LOC100639119	LOC100639119_df_pt	0.333	0	0.227	0	0.03	0.117	0	0
LOC100636850	LOC100636850_df_pt	1.986	3.299	5.569	4.132	3.695	7.291	2.374	8.89
LOC100635523	LOC100635523_df_pt	1.853	0.386	0.51	0.042	0.361	0.437	0.415	0.562
LOC100635544	LOC100635544_df_pt	0	0	0	0.565	0	0.149	0	0
LOC100637246	LOC100637246_df_pt	6.218	7.4	4.217	0.714	2.61	3.553	1.742	3.72
LOC100635209	LOC100635209_df_pt	13.909	4.446	2.265	7.745	5.893	6.037	1.879	1.017
LOC100638530	LOC100638530_df_pt	2.6	0.901	1.28	1.368	0.78	1.368	1.838	1.678
LOC100639142	LOC100639142_df_pt	20.97	17.895	18.083	15.025	20.069	21.835	54.776	43.528
LOC100636636	LOC100636636_df_pt	3.633	4.299	3.735	1.189	1.073	2.377	2.051	2.522
LOC100637817	LOC100637817_df_pt	2.615	0.635	0.193	0.954	0.915	1.532	2.71	0.39
LOC100636935	LOC100636935_df_pt	1.138	0	0.286	0.568	0	0	0.323	0.065
LOC100635492	LOC100635492_df_pt	5.9	1.01	0.734	0.197	0.15	0.278	0.829	0.782
LOC100635376	LOC100635376_df_pt	1.596	0.297	0.678	0.278	0.188	0.502	0.497	0.301
LOC100637171	LOC100637171_df_pt	4.347	1.699	1.395	2.57	1.445	1.209	1.484	2.056
LOC100638087	LOC100638087_df_pt	96.377	178.304	214.806	305.227	398.124	453.83	309.118	239.34
LOC100639408	LOC100639408_df_pt	6.235	4.927	5.1	10.437	4.923	7.019	4.282	3.624
LOC100636577	LOC100636577_df_pt	35.581	21.545	6.076	5.981	5.231	5.104	4.068	7.459
LOC100638801	LOC100638801_df_pt	0.117	0.215	0.407	0.283	0	0.137	0.628	0.388
LOC100638442	LOC100638442_df_pt	1.022	0.916	0.047	0.456	0.05	0.169	0.219	0
LOC100635712	LOC100635712_df_pt	4.132	1.241	1.093	0.97	0.916	0.638	1.268	0.724
LOC100636422	LOC100636422_df_pt	72.31	44.784	28.249	21.47	34.351	56.06	23.759	43.727
LOC100637777	LOC100637777_df_pt	0.744	0.476	0	0.05	0	0	0.045	0
LOC100636227	LOC100636227_df_pt	29.352	15.39	1.402	1.073	0.152	2.285	1.291	0.83
LOC100637940	LOC100637940_df_pt	12.865	0.125	0.118	0.217	1.161	0.202	0.082	0.49
LOC100637228	LOC100637228_df_pt	14.166	10.07	6.21	4.893	2.247	1.913	3.096	3.771
LOC100636641	LOC100636641_df_pt	7.867	4.666	1.349	1.437	0.837	0.668	2.578	0.643
LOC100635831	LOC100635831_df_pt	0.45	0.114	0.369	0.65	0.314	1.486	0.753	0.215
LOC100639621	LOC100639621_df_pt	3.377	0.601	2.105	0.798	1.039	1.092	0.967	1.697
LOC100639839	LOC100639839_df_pt	0	0.62	0.316	0.105	0	0.111	0.091	0.401
LOC100638365	LOC100638365_df_pt	1.083	0.31	1.354	0.603	0.938	0.074	0.094	0.559
LOC100638069	LOC100638069_df_pt	1.098	0.101	0.958	0.358	0.103	0.638	0.202	0.083
LOC100635158	LOC100635158_df_pt	1.285	0.155	0.227	0.926	0.129	0.039	0.045	0.849
LOC100636196	LOC100636196_df_pt	12.49	3.938	4.18	1.399	2.849	1.213	1.774	4.464
LOC100636766	LOC100636766_df_pt	1.113	0.059	0.13	0	0.03	0.325	0.091	0
GeneID_100616079	NM_001279292.1	0	0.343	0	0	0	0	0	0
LOC109581684	LOC109581684_df_pt	1.731	0.275	0.272	0.043	0.655	0.073	0.092	0
LOC105314609	LOC105314609_df_pt	14.92	23.675	19.417	17.072	8.044	11.05	7.283	13.406
LOC100638733	NM_001305246.1	4.546	1.242	1.181	0.451	1.423	0.913	1.364	1.076
LOC100641073	LOC100641073_df_pt	0.654	0.541	0.023	0.182	0	0.289	0	0.192
LOC100641781	LOC100641781_df_pt	0.171	0.124	0.021	0	0	0	0	0
LOC109581975	LOC109581975_df_pt	1.095	0.335	0.195	0.201	0.03	0	0	0
LOC109583038	LOC109583038_df_pt	7.685	2.359	1.932	1.278	0.767	2.169	0.792	1.439
LOC109587708	LOC109587708_df_pt	63.005	31.519	13.755	9.085	13.531	12.414	22.026	44.461
LOC105312936	LOC105312936_df_pt	30.427	20.525	9.921	9.931	6.286	10.387	5.833	19.067
LOC109585175	LOC109585175_df_pt	0	0	0.16	0	0.049	0	0	0
GeneID_100616087	NM_001279307.1-2	0	0	0.181	0	0	0	0	0
LOC109585480	LOC109585480_df_pt	3.595	1.176	0.722	0.462	1.877	0.287	0.476	0.61
LOC109581841	LOC109581841_df_pt	1.555	0.36	0.491	0.444	0.05	0.15	0.198	0.313
LOC105315930	LOC105315930_df_pt	0	0.185	0.047	1.148	0.089	0.663	0	0.758
LOC100641742	LOC100641742_df_pt	2.094	2.058	2.654	1.845	1.683	1.088	2.499	3.453
LOC109584012	LOC109584012_df_pt	12.443	0.694	1.677	0.584	0.525	1.077	1.59	2.03
LOC109585295	LOC109585295_df_pt	3.484	2.116	1.129	1.189	2.149	0.837	3.906	9.941
LOC109585869	LOC109585869_df_pt	3.583	1.456	0.832	0.122	0.13	1.645	0.385	0.131
LOC109580140	LOC109580140_df_pt	0	0	0.227	0.043	0.741	0.111	0.045	0.097
LOC109584585	LOC109584585_df_pt	3.947	6.429	6.588	3.729	4.009	7.193	1.949	2.477
LOC109586907	LOC109586907_df_pt	0.482	2.016	0.33	0.122	0.03	1.248	1.424	0.839
GeneID_100632656	NM_001305250.1	7.197	10.018	4.418	2.247	4.596	4.051	15.61	21.528
GeneID_100616077	NM_001279290.1	2.41	8.621	5.837	5.498	4.31	8.232	8.49	15.693
LOC109584051	LOC109584051_df_pt	1.088	0.387	0.275	0.042	0.17	0.058	0.401	0.09
LOC105316263	LOC105316263_df_pt	1.144	6.371	27.971	13.999	30.547	45.287	15.257	0
