GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBti0018862	FBti0018862-RA	0.073	0.177	0.172	0.059	0.33	0.177	0.532	0.748	1.012	0.762	0.32	0.213
FBti0018923	FBti0018923-RA	0.468	0.12	0.59	0.843	1.043	0.875	0.535	0.536	0.816	0.368	0.309	0.624
FBti0018883	FBti0018883-RA	0	0.095	0.053	0	0	0.002	0.172	0	0.001	0.247	0.168	0.144
FBti0018914	FBti0018914-RA	0.002	0	0.002	0.071	0	0	0	0	0.147	0	0	0.217
FBti0018917	FBti0018917-RA	0	0	0.046	0	0	0	0	0	0	0	0	0
FBti0018919	FBti0018919-RA	0.081	0.053	0.065	0.059	0.014	0.152	0.046	0.053	0.076	0.139	0.04	0.074
FBti0018911	FBti0018911-RA	0.076	0.046	0.367	0.902	0.719	0.372	0.443	0.31	0.392	0.369	0.203	0.312
FBti0018925	FBti0018925-RA	0.282	0.362	0.409	0.801	0.712	0.419	0.014	0.554	0.928	1.117	2.334	2.708
FBti0018885	FBti0018885-RA	0.192	0.147	0.357	1.201	1.599	2.13	2.214	1.088	0.389	0.505	0.166	0.167
FBti0018926	FBti0018926-RA	0.185	0	0.07	0.071	0.211	0.299	0.266	0.302	0.338	0.065	0.326	0.507
FBti0018886	FBti0018886-RA	0.142	0.16	0.694	2.656	3.105	3.263	3.392	2.214	1.096	1.518	0.634	0.766
FBti0018903	FBti0018903-RA	0.018	0	0	0	0	0	0	0	0	0	0	0
FBti0018873	FBti0018873-RA	0.192	0.091	0.276	0.245	0.71	0.907	1.837	12.469	4.92	6.479	2.08	3.767
FBti0018891	FBti0018891-RA	0	0	0.014	0.101	0.071	0.123	0.138	0.152	0.06	0.039	0.07	0
FBti0018899	FBti0018899-RA	0.024	0.014	0.046	0.039	0.04	0.038	0.026	0.012	0.016	0.025	0	0.011
FBti0018931	FBti0018931-RA	0	0	0.018	0.062	0.062	0.087	0.242	0.16	0.026	0.148	0.015	0
FBti0015567	FBti0015567-RA	0.284	0.208	0.347	0.894	0.866	1.145	1.311	1.965	2.584	4.355	3.863	4.564
FBti0018876	FBti0018876-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018905	FBti0018905-RA	0	0	0.032	0	0	0	0	0.031	0.022	0	0	0.083
FBti0018894	FBti0018894-RA	0.035	0.013	0.042	0.123	0.209	0.319	0.313	0.319	0.168	0.237	0.11	0.28
FBti0018897	FBti0018897-RA	0.068	0.033	0.101	0.215	0.177	0.172	0.299	0.32	0.044	0.107	0.062	0.15
FBti0018875	FBti0018875-RA	0.03	0.044	0	0.025	0.001	0.015	0	0	0	0.03	0	0
FBti0018906	FBti0018906-RA	0.071	0.061	0.156	0.98	1.181	0.843	0.897	0.798	0.525	0.961	0.443	0.673
FBti0018889	FBti0018889-RA	0	0.025	0	0.011	0.022	0	0.013	0.013	0	0	0	0.017
FBti0018929	FBti0018929-RA	0	0.065	0.184	0.163	0.078	0.218	0.265	0.081	0.167	0.035	0.028	0.082
FBti0018884	FBti0018884-RA	0.507	0.27	0.428	0.332	0	0.095	1.355	0.399	2.555	2.917	4.974	2.28
FBti0018887	FBti0018887-RA	0	0.246	0	0	0	0	0	0.224	0	0	0	0
FBti0018913	FBti0018913-RA	0	0	0.1	0.527	0.603	0.018	0.048	0.008	0.001	0.583	0.177	0.093
FBti0018924	FBti0018924-RA	0.135	0	0.247	0.1	0.233	0	0.057	0.145	0.091	0	0.061	0.154
FBti0018927	FBti0018927-RA	0.082	0.058	0.083	0.13	0.101	0.252	0	0.207	0.915	0.495	1.137	0.524
FBti0018916	FBti0018916-RA	0	0	0.066	0.201	0.536	0	0.638	0.612	0	0.421	0.401	1.057
FBti0018921	FBti0018921-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018915	FBti0018915-RA	0	0	0	0	0	0	0	0	0	0.071	0	0
FBti0018881	FBti0018881-RA	0.166	0	0.243	0.102	0.738	0.298	0.621	2.17	1.939	0.703	1.218	1.054
FBti0018874	FBti0018874-RA	0.104	0.05	0.654	1.288	0.396	1.474	7.847	31.542	14.973	11.656	4.144	2.66
FBti0018877	FBti0018877-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018909	FBti0018909-RA	0	0	0.076	0	0	0	0	0.069	0.077	0.007	0	0.019
FBti0018868	FBti0018868-RA	0	0	0	0	0	0	0	0	0	0	0.504	4.381
FBti0018933	FBti0018933-RA	0	0.022	0	0.063	0.044	0.063	0.012	0.169	0.197	0.052	0	0.004
FBti0018907	FBti0018907-RA	0.058	0.043	0.029	0.359	1.016	0.439	0.349	0.163	0.195	0.26	0.2	0.158
FBti0018904	FBti0018904-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018879	FBti0018879-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018896	FBti0018896-RA	0.261	0.201	0.277	0.115	0.014	0.06	0.044	0.04	0.025	0.03	0.043	0.033
FBgn0013687	FBgn0013687_df_pt	0.248	0.262	0.2	0.15	0.129	0.182	0.181	0.246	0.289	0.164	0.169	0.153
FBti0018936	FBti0018936-RA	0.074	0	0	0.275	0.118	0.146	0	0.265	0	0.281	0.077	0.84
FBti0018893	FBti0018893-RA	0.01	0.007	0.055	0.085	0.189	0.146	0.127	0.188	0.207	0.156	0.11	0.135
FBti0018871	FBti0018871-RA	0	0.204	0.129	0	0	0.08	0.084	0.072	0.083	0	0.052	0.072
FBti0018901	FBti0018901-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018892	FBti0018892-RA	0.436	1.142	7.28	1.065	0.351	0	0.429	0.347	0.034	0.11	0.023	0
FBti0018930	FBti0018930-RA	0	0	0	0.132	0	0	0.422	0.128	0.141	0.235	0	0.235
FBti0018888	FBti0018888-RA	0.011	0.013	0.008	0.053	0.009	0.058	0.048	0.01	0.088	0.04	0.054	0.079
FBti0018890	FBti0018890-RA	0.023	0.04	0.09	0.611	0.609	0.723	0.816	0.412	0.252	0.285	0.165	0.106
FBti0018932	FBti0018932-RA	0.018	0.054	0.174	0.204	0.388	0.315	0.118	0.009	0	0	0	0
FBti0018861	FBti0018861-RA	0.067	0.037	0.092	0	0	0	0	0.064	0.27	0	0	0.187
FBti0018908	FBti0018908-RA	0.059	0.066	0.296	0.489	0.373	0.371	0.438	0.336	0.403	0.206	0.137	0.274
FBti0018869	FBti0018869-RA	0.141	0.074	0.126	0.632	1.179	0.975	0.241	0.345	1.994	2.911	2.877	5.33
FBti0018912	FBti0018912-RA	0	0	0	0.463	0.152	0	0.249	0.273	0.565	1.685	1.136	1.222
FBti0018878	FBti0018878-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018867	FBti0018867-RA	0	0	0	0	0	0	0	0	0	0	0.504	4.381
FBti0018900	FBti0018900-RA	0.057	0.044	0.044	0.05	0.084	0.048	0.142	0.028	0.021	0.063	0.094	0.013
FBti0018902	FBti0018902-RA	0	0	0	0	0.024	0	0.023	0.024	0.041	0	0.11	0.08
FBti0018918	FBti0018918-RA	0.011	0	0.047	0.901	0.736	0.553	1.447	2.227	1.185	0.228	0.114	0.215
FBti0018872	FBti0018872-RA	0.348	0.584	0.651	1.68	2.792	3.064	3.287	5.341	4.941	5.426	4.828	6.805
FBti0018865	FBti0018865-RA	0	0	0	0	0	0	0	0	0	0	0.087	0.009
FBti0018920	FBti0018920-RA	0.058	0.137	0.18	1.08	1.211	0.872	0.616	0.538	0.415	0.375	0.341	0.204
FBti0018898	FBti0018898-RA	0.024	0.004	0.085	0	0.158	0.117	0.021	0.017	0.056	0.147	0.076	0.201
FBti0018880	FBti0018880-RA	0.752	0.942	1.242	0.813	0.465	0.056	0.177	0.069	0.109	0.11	0.205	0.077
FBti0018866	FBti0018866-RA	0	0	0	0	0	0	0	0	0	0	0.149	0
FBti0018882	FBti0018882-RA	0	0.059	0.041	0	0.122	0	0	0	0.055	0.001	0	0.77
FBti0018969	FBti0018969-RA	0	0.247	0.159	0	0	0	0.15	0	0.59	0.141	0.566	0.103
FBti0018967	FBti0018967-RA	0.268	0.042	0.289	0.471	0.843	1.241	1.549	1.925	1.971	1.648	2.306	2.072
FBti0018964	FBti0018964-RA	0.001	0	0.493	0.88	1.707	2.219	0.633	0.963	0.596	0.814	0.333	0.151
FBti0018978	FBti0018978-RA	0.434	0.547	0.65	2.094	3.513	1.556	1.551	1.248	0.627	0.711	0.661	0.652
FBti0018961	FBti0018961-RA	0.6	0	0.083	0.601	1.027	0.306	0.765	0	0.123	0.129	0.504	1.534
FBti0018990	FBti0018990-RA	0.005	0	0	0	0.12	0.08	0	0.066	0	0.107	0.116	0
FBti0018988	FBti0018988-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018948	FBti0018948-RA	0	0	0	0	0	0.001	0	0.003	0	0.001	0	0
FBti0018952	FBti0018952-RA	0.075	0.074	0.307	0.956	1.067	0.865	0.79	0.54	0.398	0.657	0.247	0.264
FBti0018992	FBti0018992-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018950	FBti0018950-RA	0.035	0.028	0.068	0.174	0.125	0.539	0.542	0.526	0.249	0.931	0.229	0.493
FBti0018982	FBti0018982-RA	0	0	0	0	0.227	0	0	0.066	0	0	0.172	0
FBti0018963	FBti0018963-RA	0.324	0.477	0.651	2.762	2.701	3.408	1.753	1.17	0.737	0.946	0.254	0.641
FBti0018942	FBti0018942-RA	0.025	0	0.034	0.108	0.183	0.319	0.17	0.181	0.353	0.328	0	0.024
FBti0018958	FBti0018958-RA	0.14	0	0.647	2.26	3.419	3.347	1.599	1.099	0.171	0.54	0.138	0.749
FBti0018980	FBti0018980-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018998	FBti0018998-RA	0.071	0.054	0.129	0.101	0.424	0.164	0.338	0.444	0.354	0.258	0.156	0.079
FBti0018965	FBti0018965-RA	0.036	0.34	0	0	0.236	0.012	0.002	0.045	0.091	0.813	0.655	0.394
FBti0018940	FBti0018940-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018966	FBti0018966-RA	0.538	0	0.351	0.577	0.302	0.811	2.446	1.471	2.286	2.982	3.385	6.03
FBti0018938	FBti0018938-RA	0.049	0.025	0	0.044	0.023	0.022	0	0.024	0	0	0	0.043
FBti0018972	FBti0018972-RA	0	0.005	0.051	0.121	0.328	0.196	0.442	0.177	0.269	0.139	0.2	0.049
FBti0019000	FBti0019000-RA	0	0	0	0	0.088	0	0	0	0	0	0	0.12
FBti0018970	FBti0018970-RA	0	0	0	0	0.149	0.116	0.001	0	0	0.009	0	0
FBti0019002	FBti0019002-RA	0	0	0	0	0	0	0	0	0	0	0	0.071
FBti0018951	FBti0018951-RA	0.517	0.222	0.359	0.896	1.192	1.164	1.111	0.811	0.666	1.21	1.356	2.066
FBti0018999	FBti0018999-RA	0.158	0.141	0.144	0.518	0.401	0.646	0.676	0.456	0.443	0.401	0.513	0.636
FBti0018997	FBti0018997-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019003	FBti0019003-RA	0	0	0	0.054	0.037	0.018	0.004	0	0	0	0.004	0.016
FBti0018994	FBti0018994-RA	0.166	0.134	0	0	0.59	0.217	0.147	0.233	0.182	0.469	0.014	0.454
FBti0018957	FBti0018957-RA	0	0.033	0.017	0.037	0.007	0.017	0.014	0	0	0	0.06	0
FBti0019006	FBti0019006-RA	0.042	0.034	0	0.043	0.095	0.07	0.074	0.12	0.118	0.018	0.029	0.059
FBti0018954	FBti0018954-RA	0	0.002	0.004	0	0	0	0	0	0	0.012	0	0
FBti0018973	FBti0018973-RA	0	0.306	0.385	0.118	0.331	0.541	1.248	0.115	0.605	0.712	0.006	0.064
FBti0018991	FBti0018991-RA	0	0	0.216	0	0	0	0.182	0	0	0	0	0
FBti0019005	FBti0019005-RA	0.024	0.013	0	0.011	0.021	0.011	0.024	0	0	0	0.04	0.111
FBti0018959	FBti0018959-RA	0.066	0	0	0.503	0.423	0.144	0.144	0.051	0.442	0.412	0.369	0.479
FBti0018985	FBti0018985-RA	0	0	0	0	0	0	0	0	0	0	0.086	0.038
FBti0018960	FBti0018960-RA	0.066	0	0	0.503	0.423	0.144	0.144	0.051	0.442	0.412	0.369	0.479
FBti0018946	FBti0018946-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018986	FBti0018986-RA	0.032	0.021	0	0.033	0	0	0	0	0.053	0	0	0.089
FBti0018945	FBti0018945-RA	0	0	0	0.035	0.131	0.208	0.255	0.1	0.166	0	0.071	0.411
FBti0018983	FBti0018983-RA	0	0	0.023	0	0	0	0	0	0	0	0.009	0
FBti0018962	FBti0018962-RA	0	0	0.051	0.068	0.354	0.307	0.166	0.074	0	0	0.207	0
FBti0018939	FBti0018939-RA	0.093	0.094	0.236	0.295	0.225	0.272	0.181	0.099	0	0.027	0	0.02
FBti0018937	FBti0018937-RA	0.081	0	0	0.062	0	0.204	0.269	0.288	0.003	0.239	0.125	0
FBti0018943	FBti0018943-RA	0	0	0	0	0.304	1.556	1.128	0.323	0.631	1.081	0.222	0
FBti0019007	FBti0019007-RA	0.094	0.076	0	0	0.038	0.015	0.067	0	0.04	0.085	0.051	0.006
FBti0018993	FBti0018993-RA	0.045	0.058	0.307	0.002	0.045	0.284	0	0	0.358	0	0	0.153
FBti0019004	FBti0019004-RA	0.048	0	0.069	0.192	0.124	0.107	0.197	0.045	0.042	0.081	0	0.059
FBti0018956	FBti0018956-RA	0.017	0.028	0.173	0.089	0.113	0.148	0.23	0.182	0.217	0.195	0.165	0.25
FBti0018971	FBti0018971-RA	0	0.041	0	0.003	0.022	0.001	0	0.002	0	0.008	0.018	0.004
FBti0018955	FBti0018955-RA	0.027	0	0.021	0.083	0.136	0.037	0.073	0.096	0	0.021	0.06	0.059
FBti0018995	FBti0018995-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018968	FBti0018968-RA	0.179	0.176	1.015	0.791	4.72	3.359	1.538	0.681	1.545	3.806	1.172	1.87
FBti0018977	FBti0018977-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019001	FBti0019001-RA	0	0.003	0.05	0.341	0.186	0.232	0.446	0.54	0.278	0.538	0.245	0.663
FBti0018953	FBti0018953-RA	0.18	0.177	0.686	0.557	0.702	0.486	0.61	0.427	0	0.373	0.076	0.072
FBti0018996	FBti0018996-RA	0.017	0.003	0	0.337	0.19	0.687	0.532	0.339	0.587	0.466	0.167	0.458
FBti0018979	FBti0018979-RA	0.078	0.092	0.144	0.207	0.269	0.536	0.511	0.254	0.262	0.252	0.278	0.332
FBti0018981	FBti0018981-RA	0	0.029	0.026	0.022	0.001	0.109	0.115	0.017	0.009	0.022	0.094	0.182
FBti0018947	FBti0018947-RA	0	0.001	0	0	0	0.007	0	0	0	0	0	0
FBti0018944	FBti0018944-RA	0.113	0.028	0.224	0.303	0.281	0.47	0.806	0.761	1.018	1.155	0.541	0.522
FBti0018989	FBti0018989-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018949	FBti0018949-RA	0.001	0	0	0	0	0	0	0	0.005	0	0.001	0
FBti0018987	FBti0018987-RA	0	0.011	0	0	0	0	0.234	0	0.115	0.138	0	0.43
FBti0018984	FBti0018984-RA	0	0	0	0.12	0.274	0.502	0.204	0.021	0	0.015	0	0
FBti0019104	FBti0019104-RA	0.225	0.018	0.642	0.822	0.162	0.4	0.984	0.732	1.402	1.448	2.475	3.343
FBti0019133	FBti0019133-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019020	FBti0019020-RA	0	0.071	0.18	0.068	0.075	0.068	0.256	0.366	0.53	0.221	0.125	0.205
FBti0019070	FBti0019070-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019109	FBti0019109-RA	0.053	0	0.046	0	0.001	0	0	0.065	0.059	0.041	0	0
FBti0019135	FBti0019135-RA	0	0	0	0.197	0.839	0.807	0.174	0.913	0.557	0.8	0.366	1.463
FBti0019038	FBti0019038-RA	0	0	0.026	0.071	0.115	0.095	0.044	0.053	0.047	0.084	0.059	0.025
FBti0019022	FBti0019022-RA	0	0.016	0	0.136	0.092	0.996	0.734	0.582	0.854	0.685	0.374	0.058
FBti0019072	FBti0019072-RA	0	0	0	0	0.017	0.015	0	0.012	0.014	0.027	0	0.018
FBti0019124	FBti0019124-RA	0	0	0	0.91	0.897	0.417	0.988	0.906	0.859	0.47	0	0
FBti0019080	FBti0019080-RA	0.009	0	0.439	0.224	0.066	0.143	0.146	0.425	0.142	0.337	0	0.138
FBti0019065	FBti0019065-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019113	FBti0019113-RA	1.933	0.08	0	0.113	1.845	1.308	0.962	0.073	0.009	0.14	0.043	0.037
FBti0019129	FBti0019129-RA	0.166	0.087	0.088	0.103	0.235	0.156	0.05	0.533	0.23	0.03	0	0.068
FBti0019066	FBti0019066-RA	0.048	0.071	0.628	0.225	0.002	0.232	0.17	0	0.045	0	2.902	5.419
FBti0019082	FBti0019082-RA	0.256	0.201	0.363	0.97	0.958	1.764	2.402	2.452	2.083	1.385	1.219	1.593
FBti0019063	FBti0019063-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019018	FBti0019018-RA	0	0	0	0.001	0.346	0.113	0.473	0.243	0.338	0.081	0	0.002
FBti0019115	FBti0019115-RA	0	0.007	0.01	0	0.005	0.009	0.022	0.016	0.012	0.015	0.01	0.12
FBti0019116	FBti0019116-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019092	FBti0019092-RA	0.049	0.006	0.115	0	0	0.102	0.403	0.301	0.105	0	0.334	0.189
FBti0019050	FBti0019050-RA	0.001	0.239	0	0	0	0	0	0	0	0	0	2.705
FBti0019090	FBti0019090-RA	0.223	0.224	0.261	0.96	1.142	1.87	1.82	1.696	2.279	1.695	1.16	1.189
FBti0019052	FBti0019052-RA	0	0	0.011	0	0.095	0.002	0.438	1.468	0.207	0.417	0.093	0.157
FBti0019048	FBti0019048-RA	0	0	0	0.05	0.216	0.077	0.757	0.621	1.58	1.038	0.482	0.718
FBti0019131	FBti0019131-RA	0.063	0	0.026	0.951	1.071	2.064	3.059	4.89	2.385	1.385	0.354	0.228
FBti0019117	FBti0019117-RA	0.624	0	0	0	1.279	0.669	0.226	0.503	0.474	0.546	1.223	1.936
FBti0019061	FBti0019061-RA	0	0	0	0.194	0.204	0.601	1.373	1.094	1.893	1.287	2.337	3.488
FBti0019067	FBti0019067-RA	0.009	0	0	0.148	0	0.54	0.274	0.886	0.293	0.334	0.045	0.02
FBti0019111	FBti0019111-RA	0.028	0	0.149	0	0	0	0	0	0	0	0	0
FBti0019044	FBti0019044-RA	0	0.022	0	0	0.071	0	0.092	0.254	0.23	0.335	0.315	0.079
FBti0019049	FBti0019049-RA	0	0	0	0	0	0	0	0	0	0.004	0	0
FBti0019087	FBti0019087-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019081	FBti0019081-RA	0.107	0.12	0.148	0.238	0.338	0.09	0.341	0.528	0.102	0.43	0.103	0.175
FBti0019095	FBti0019095-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019077	FBti0019077-RA	0.221	0.495	0.61	1.389	1.347	1.331	0.858	0.743	0.939	1.353	1.968	1.493
FBti0019027	FBti0019027-RA	0	0	0	0.113	0.083	0.222	0.159	0.796	0.232	0.101	0.16	0.08
FBti0019053	FBti0019053-RA	0	0	0	0.011	0.036	0.028	0.062	0.032	0.031	0.286	0.122	0.084
FBti0019096	FBti0019096-RA	1.285	0.256	1.105	2.899	5.228	7.672	9.091	13.617	13.73	21.48	26.642	37.181
FBti0019071	FBti0019071-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019093	FBti0019093-RA	0.147	0.092	0.181	4.821	6.147	5.907	8.093	9.982	4.629	3.388	1.235	0.4
FBti0019021	FBti0019021-RA	0.33	0	0.086	2.137	2.787	5.006	4.897	9.372	5.249	2.839	1.337	0.049
FBti0019056	FBti0019056-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019055	FBti0019055-RA	0.055	0	0	0.169	0.235	0.168	0.214	0.305	0.36	0.341	0.063	0.326
FBti0019083	FBti0019083-RA	0	0	0	0.079	0.083	0.031	0.2	0.263	0.147	0.068	0.062	0.023
FBti0019110	FBti0019110-RA	0	0.029	0.076	0.061	0.078	0	0	0	0.153	0.075	0	0
FBti0019039	FBti0019039-RA	0.033	0.018	0.034	0.032	0	0.03	0.033	0.032	0.041	0.054	0.03	0.047
FBti0019062	FBti0019062-RA	0	0	0	0	0	0	0	0.081	0.069	0	0	0.335
FBti0019085	FBti0019085-RA	0	0	0	0	0	0	0.035	0.043	0.051	0.021	0	0.057
FBti0019112	FBti0019112-RA	0.435	0.279	0.495	0.306	0.496	0.295	0.1	0	0.15	0.193	0	0.138
FBti0019060	FBti0019060-RA	0	0	0	0	0.033	0.142	0.096	0.143	0.035	0	0	0
FBti0019086	FBti0019086-RA	1.304	0.703	1.171	2.034	2.766	4.24	6.103	23.268	8.697	6.883	3.743	7.117
FBti0019108	FBti0019108-RA	0	0.054	0.132	0	0	0	0.121	0.051	0.117	0.08	0	0
FBti0019057	FBti0019057-RA	0.01	0.001	0.069	0.108	0.175	0.008	0.269	0.111	0.196	0.43	0.205	0.175
FBti0019130	FBti0019130-RA	0	0.044	0.079	0	0.193	0	0.295	0.299	1.127	0.279	0.839	1.139
FBti0019019	FBti0019019-RA	0.024	0	0	0.042	0.109	0.12	0.126	0.43	0.319	0.197	0.091	0
FBti0019091	FBti0019091-RA	0	0	0.016	0.072	0	0.071	0	0.045	0.043	0	0.033	0
FBti0019073	FBti0019073-RA	0.15	0.517	0.733	1.637	3.279	1.506	2.243	2.28	0.974	2.921	0.938	0.245
FBti0019026	FBti0019026-RA	0	0	0.045	0.523	0.552	0.937	1.176	2.29	1.593	0.619	0.356	0.215
FBti0019076	FBti0019076-RA	0	0	0	1.713	0.379	1.058	0.224	0.658	0	0.258	0	0
FBti0019051	FBti0019051-RA	0.148	0.16	0.215	2.234	3.823	7.733	7.511	17.69	7.501	5.359	1.804	1.464
FBti0019132	FBti0019132-RA	0.17	0	0.009	0	0.796	0.837	0	0.363	0.506	0.494	0.428	1.528
FBti0019128	FBti0019128-RA	0	0.029	0.01	0.141	0.275	0.295	0.058	0.111	0	0.356	0.003	1.639
FBti0019075	FBti0019075-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019025	FBti0019025-RA	0	0	0	0.386	0.407	0.824	1.139	1.484	0.771	0.456	0.145	0.264
FBti0019107	FBti0019107-RA	0	0	0	0	0	0	0	0	0	0	0.662	6.897
FBti0019101	FBti0019101-RA	0	0.046	0	0.919	0.627	1.997	2.443	5.123	1.749	2.281	0.526	0.219
FBti0019127	FBti0019127-RA	0	0	0	0.081	0	0	0.148	0.083	0	0	0	0.104
FBti0019098	FBti0019098-RA	0.055	0.043	0.052	2.392	2.275	6.93	7.081	15.82	7.501	4.329	1.283	0.59
FBti0019040	FBti0019040-RA	0	0.017	0.043	0	0.09	0.313	0	0.156	0.293	0.142	0.204	0.049
FBti0019121	FBti0019121-RA	0	0.012	0.03	0	0.063	0.221	0	0.113	0.21	0.103	0.142	0.034
FBti0019058	FBti0019058-RA	0.023	0	0	0	0.031	0	0.053	0	0	0	0.015	0.114
FBti0019042	FBti0019042-RA	0	0	0.106	0.139	0.142	0.06	0.082	0.18	0.392	0.168	0.192	0.441
FBti0019010	FBti0019010-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019103	FBti0019103-RA	0.035	0.179	0.057	0.068	0.139	0	0.099	0.359	0.206	0.126	0.538	0.272
FBti0019134	FBti0019134-RA	0	0.077	0.07	0	0	0	0	0	0	0.069	0	0
FBti0019106	FBti0019106-RA	0.049	0.004	1.761	7.086	6.045	7.362	15.364	17.117	19.537	26.204	23.831	20.015
FBti0019012	FBti0019012-RA	0.249	0	0	0	0	0	0	0	0	0	0	0
FBti0019088	FBti0019088-RA	0.017	0.016	0.024	0.031	0.066	0.156	0.077	0.076	0.222	0.071	0.116	0.136
FBti0019105	FBti0019105-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019008	FBti0019008-RA	0	0	0.006	0	0.153	0.013	0.062	0.051	0.037	0.148	0.126	0.009
FBti0019030	FBti0019030-RA	0.053	0.078	0.013	0.188	0.23	0.122	0.767	1.515	0.673	0.528	0.194	0.561
FBti0019119	FBti0019119-RA	0.166	0	0.104	0.006	0.454	0.298	0.621	2.17	1.939	0.703	0.537	1.054
FBti0019114	FBti0019114-RA	0.012	0.006	0	0	0.1	0.044	0	0	0	0.08	0	0.036
FBti0019123	FBti0019123-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019032	FBti0019032-RA	0.116	0.122	0	0	0	0	0	0	0	0	0.089	0.081
FBti0019069	FBti0019069-RA	0.157	0	0.106	0.026	0.066	0.001	0	0.088	0.015	0.003	0.118	0.305
FBti0019126	FBti0019126-RA	0	0	0.116	2.928	2.97	9.745	7.787	17.006	8.101	5.876	1.673	0.922
FBti0019064	FBti0019064-RA	0	0	0	0	0.083	0	0	0.188	0	0	0.063	0
FBti0019078	FBti0019078-RA	2.063	1.482	1.357	0.109	0	0	0	0	0.478	0.307	8.166	13.548
FBti0019125	FBti0019125-RA	0	0	0	0	0.189	0.103	0.251	0	0	0.223	0.088	0.276
FBti0019028	FBti0019028-RA	0	0	0	0	0	0	0	0.076	0	0	0	0
FBti0019047	FBti0019047-RA	0.157	0	0.106	0.026	0.066	0.001	0	0.088	0.015	0.003	0.118	0.305
FBti0019089	FBti0019089-RA	0.237	0.561	0.504	1.382	0.303	1.007	0.238	0.776	0.17	0.341	1.21	1.817
FBti0019009	FBti0019009-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019084	FBti0019084-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019120	FBti0019120-RA	0.15	0.103	0.078	0.003	0.141	0.375	0.527	0.5	0.135	0.59	0.237	0.217
FBti0019035	FBti0019035-RA	0.058	0.212	0.26	0.409	0.55	0.57	0.468	0.439	0.305	0.163	0.161	0.022
FBti0019041	FBti0019041-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019036	FBti0019036-RA	0.034	0	0	0	0	0	0	0	0	0	0.029	0
FBti0019122	FBti0019122-RA	0.075	0	0	0	0.101	0.149	0.113	0	0	0.296	0.253	0.126
FBti0019013	FBti0019013-RA	0	0	0	0	0	0	0.507	0	0	0	0	0.509
FBti0019068	FBti0019068-RA	0	0	0	0.267	0.107	0.298	0.182	0.114	0.247	0.152	0	0
FBti0019074	FBti0019074-RA	0	0	0	0	0	0	0	0	0.4	0	0	0.122
FBti0019100	FBti0019100-RA	0.021	0	0	0.43	0.513	1.477	1.312	3.06	1.387	0.611	0.212	0.355
FBti0019079	FBti0019079-RA	0.434	0.575	0.575	1.713	0.07	0.49	0.235	0.23	0.738	0.453	0.162	0.162
FBti0019029	FBti0019029-RA	0	0.04	0	0	0	0	0	0	0	0	0	0
FBti0019015	FBti0019015-RA	0	0	0	0.136	0.111	0.307	0.149	0.651	0.503	0.311	0.252	0
FBti0019118	FBti0019118-RA	23.824	24.593	26.333	20.998	21.686	27.794	29.2	30.828	27.284	24.53	23.085	29.176
FBti0019016	FBti0019016-RA	1.584	0	0.001	6.199	0.835	0.072	9.062	9.078	5.234	14.137	24.079	32.146
FBti0019102	FBti0019102-RA	0.002	0	0.036	0.526	0.008	0.427	0.443	0.449	0	0.25	1.12	1.188
FBti0019043	FBti0019043-RA	0.046	0.053	0	0	0	0	0.138	0	0.032	0.011	0.001	0.18
