GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBgn0031260	FBtr0078080	91.334	104.532	151.115	154.329	155.232	139.819	148.899	168.871	228.781	237.145	206.944	201.753
FBgn0036494	FBtr0075614	0.78	0.747	1.169	55.59	53.066	85.951	102.219	111.313	62.82	51.178	15.036	8.903
FBgn0031627	FBtr0077418	0.699	0.169	0.597	0.194	0.208	0.321	0.738	0.318	0.665	1.114	5.264	10.008
FBgn0030655	FBtr0074071	1.109	1.152	1.661	0.614	0.785	1.052	1.739	1.927	1.254	1.649	0.901	1.04
FBgn0030930	FBtr0074624	0.001	0	0	4.029	0.536	0	0	0	0	0	0	0
FBgn0031523	FBtr0077587	0.044	0.015	0.061	0.132	0.209	0.125	0.105	0.112	0.168	0.372	0.816	1.699
FBgn0016983	FBtr0076851	115.496	146.264	159.455	148.251	144.939	112.654	110.682	102.351	81.014	72.672	31.135	22.637
FBgn0036723	FBtr0075226	0.212	0.179	0.139	0.709	0.591	0.77	0.739	0.793	0.689	0.7	0.42	0.691
FBgn0004926	FBtr0075968	336.486	214.393	50.045	196.624	210.003	261.645	282.755	285.289	324.954	324.801	369.842	341.697
FBgn0028648	FBtr0076891	106.679	96.769	96.84	87.507	85.975	77.582	66.344	66.343	67.069	59.504	76.367	91.378
FBgn0015774	FBtr0073940	0.014	0	0.036	2.624	2.248	3.899	4.356	5.492	6.756	8.042	5.062	2.445
FBgn0001087	FBtr0073842	54.552	69.525	53.114	11.593	4.687	4.347	2.75	4.245	8.899	9.733	7.861	6.443
FBgn0011975	FBtr0073858	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052549	FBtr0074575	18.033	18.692	11.362	1.986	2.541	0.538	0.887	0.277	1.162	1.013	6.058	9.979
FBgn0011817	FBtr0076758	68.083	93.182	108.117	131.845	126.853	77.749	71.81	98	94.725	92.223	42.989	22.409
FBgn0030733	FBtr0074216	370.58	349.743	457.562	585.952	595.296	568.951	557.884	521.561	538.377	515	657.272	748.165
FBgn0052360	FBtr0076742	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0028582	FBtr0076798	0	0	0	0.008	0.007	0.018	0.073	0.035	0.049	0.081	0.115	0.119
FBgn0004649	FBtr0073898	153.05	204.652	10.568	0.771	1.132	0.553	0.834	0.178	0.284	0.611	0.122	0.27
FBgn0030873	FBtr0074470	42.425	48.765	45.412	26.34	19.768	14.837	27.551	38.561	34.062	27.116	22.299	18.28
FBgn0030433	FBtr0073691	62.295	55.328	37.827	46.006	42.876	50.08	49.708	46.739	55.939	59.281	88.513	101.476
